,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH3,Valores CH3,Tiempo CH3,Voltaje CH3
0,CH activo,1,-0.000165,2800.0,CH activo,3,-0.000165,-0.052000000000000005
1,Int. Temporal,1e-07,-0.0001649,2800.0,Int. Temporal,1e-07,-0.0001649,-0.056
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;NOISEREJ;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.2E3
",-0.0001648,2800.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;NOISEREJ;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.2E3
",-0.0001648,-0.052000000000000005
3,Unidades verticales,"""V""",-0.0001647,2800.0,Unidades verticales,"""V""",-0.0001647,-0.052000000000000005
4,Volts x div,5.0E3,-0.0001646,2800.0,Volts x div,1.0E-1,-0.0001646,-0.052000000000000005
5,Offset vertical (en unidades digitales),120.0,-0.0001645,2800.0,Offset vertical (en unidades digitales),65.0,-0.0001645,-0.052000000000000005
6,Unidades horizontales,"""s""
",-0.0001644,2600.0,Unidades horizontales,"""s""
",-0.0001644,-0.052000000000000005
7,Escala horizontal,1e-07,-0.0001643,2600.0,Escala horizontal,1e-07,-0.0001643,-0.052000000000000005
8,Cero vertical (en unidades verticales),0.0,-0.0001642,2600.0,Cero vertical (en unidades verticales),0.0,-0.0001642,-0.052000000000000005
9,Factor de Atenuacion,1.0E3,-0.0001641,2600.0,Factor de Atenuacion,1.0E0,-0.0001641,-0.048
10,Fecha,02-05-2023 14:42:37,-0.000164,2600.0,Fecha,02-05-2023 14:42:43,-0.000164,-0.048
11,,,-0.0001639,2600.0,,,-0.0001639,-0.048
12,,,-0.0001638,2400.0,,,-0.0001638,-0.048
13,,,-0.0001637,2400.0,,,-0.0001637,-0.048
14,,,-0.0001636,2400.0,,,-0.0001636,-0.048
15,,,-0.0001635,2400.0,,,-0.0001635,-0.048
16,,,-0.0001634,2400.0,,,-0.0001634,-0.048
17,,,-0.0001633,2400.0,,,-0.0001633,-0.048
18,,,-0.0001632,2400.0,,,-0.0001632,-0.048
19,,,-0.0001631,2400.0,,,-0.0001631,-0.048
20,,,-0.000163,2400.0,,,-0.000163,-0.048
21,,,-0.0001629,2200.0,,,-0.0001629,-0.048
22,,,-0.0001628,2200.0,,,-0.0001628,-0.044
23,,,-0.0001627,2200.0,,,-0.0001627,-0.044
24,,,-0.0001626,2200.0,,,-0.0001626,-0.044
25,,,-0.0001625,2200.0,,,-0.0001625,-0.044
26,,,-0.0001624,2200.0,,,-0.0001624,-0.044
27,,,-0.0001623,2000.0,,,-0.0001623,-0.044
28,,,-0.0001622,2000.0,,,-0.0001622,-0.044
29,,,-0.0001621,2000.0,,,-0.0001621,-0.04
30,,,-0.000162,2000.0,,,-0.000162,-0.044
31,,,-0.0001619,2000.0,,,-0.0001619,-0.044
32,,,-0.0001618,2000.0,,,-0.0001618,-0.044
33,,,-0.0001617,2000.0,,,-0.0001617,-0.044
34,,,-0.0001616,2000.0,,,-0.0001616,-0.04
35,,,-0.0001615,2000.0,,,-0.0001615,-0.04
36,,,-0.0001614,2000.0,,,-0.0001614,-0.04
37,,,-0.0001613,1800.0,,,-0.0001613,-0.04
38,,,-0.0001612,1800.0,,,-0.0001612,-0.04
39,,,-0.0001611,1800.0,,,-0.0001611,-0.04
40,,,-0.000161,1800.0,,,-0.000161,-0.04
41,,,-0.0001609,1800.0,,,-0.0001609,-0.036000000000000004
42,,,-0.0001608,1800.0,,,-0.0001608,-0.04
43,,,-0.0001607,1800.0,,,-0.0001607,-0.04
44,,,-0.0001606,1800.0,,,-0.0001606,-0.036000000000000004
45,,,-0.0001605,1600.0,,,-0.0001605,-0.036000000000000004
46,,,-0.0001604,1600.0,,,-0.0001604,-0.036000000000000004
47,,,-0.0001603,1600.0,,,-0.0001603,-0.036000000000000004
48,,,-0.0001602,1600.0,,,-0.0001602,-0.036000000000000004
49,,,-0.0001601,1600.0,,,-0.0001601,-0.036000000000000004
50,,,-0.00015999999999999999,1600.0,,,-0.00015999999999999999,-0.036000000000000004
51,,,-0.0001599,1600.0,,,-0.0001599,-0.036000000000000004
52,,,-0.0001598,1600.0,,,-0.0001598,-0.036000000000000004
53,,,-0.0001597,1600.0,,,-0.0001597,-0.032
54,,,-0.0001596,1400.0,,,-0.0001596,-0.032
55,,,-0.0001595,1400.0,,,-0.0001595,-0.032
56,,,-0.0001594,1600.0,,,-0.0001594,-0.032
57,,,-0.0001593,1400.0,,,-0.0001593,-0.032
58,,,-0.0001592,1400.0,,,-0.0001592,-0.032
59,,,-0.0001591,1400.0,,,-0.0001591,-0.032
60,,,-0.000159,1400.0,,,-0.000159,-0.032
61,,,-0.00015889999999999999,1400.0,,,-0.00015889999999999999,-0.032
62,,,-0.0001588,1400.0,,,-0.0001588,-0.032
63,,,-0.0001587,1400.0,,,-0.0001587,-0.028
64,,,-0.0001586,1400.0,,,-0.0001586,-0.028
