,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH3,Valores CH3,Tiempo CH3,Voltaje CH3
0,CH activo,1,-0.000165,2800.0,CH activo,3,-0.000165,-0.032
1,Int. Temporal,1e-07,-0.0001649,3000.0,Int. Temporal,1e-07,-0.0001649,-0.032
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;NOISEREJ;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;8.0E3
",-0.0001648,3000.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;NOISEREJ;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;8.0E3
",-0.0001648,-0.032
3,Unidades verticales,"""V""",-0.0001647,2600.0,Unidades verticales,"""V""",-0.0001647,-0.032
4,Volts x div,5.0E3,-0.0001646,2800.0,Volts x div,2.0E-1,-0.0001646,-0.024
5,Offset vertical (en unidades digitales),120.0,-0.0001645,2800.0,Offset vertical (en unidades digitales),65.0,-0.0001645,-0.032
6,Unidades horizontales,"""s""
",-0.0001644,3000.0,Unidades horizontales,"""s""
",-0.0001644,-0.024
7,Escala horizontal,1e-07,-0.0001643,2800.0,Escala horizontal,1e-07,-0.0001643,-0.024
8,Cero vertical (en unidades verticales),0.0,-0.0001642,2800.0,Cero vertical (en unidades verticales),0.0,-0.0001642,-0.032
9,Factor de Atenuacion,1.0E3,-0.0001641,2800.0,Factor de Atenuacion,1.0E0,-0.0001641,-0.024
10,Fecha,02-05-2023 12:22:03,-0.000164,2600.0,Fecha,02-05-2023 12:22:09,-0.000164,-0.024
11,,,-0.0001639,2800.0,,,-0.0001639,-0.024
12,,,-0.0001638,2600.0,,,-0.0001638,-0.024
13,,,-0.0001637,2800.0,,,-0.0001637,-0.024
14,,,-0.0001636,2600.0,,,-0.0001636,-0.024
15,,,-0.0001635,2600.0,,,-0.0001635,-0.024
16,,,-0.0001634,2800.0,,,-0.0001634,-0.024
17,,,-0.0001633,2600.0,,,-0.0001633,-0.016
18,,,-0.0001632,2600.0,,,-0.0001632,-0.024
19,,,-0.0001631,2600.0,,,-0.0001631,-0.016
20,,,-0.000163,2600.0,,,-0.000163,-0.024
21,,,-0.0001629,2600.0,,,-0.0001629,-0.024
22,,,-0.0001628,2600.0,,,-0.0001628,-0.024
23,,,-0.0001627,2600.0,,,-0.0001627,-0.008
24,,,-0.0001626,2400.0,,,-0.0001626,-0.024
25,,,-0.0001625,2600.0,,,-0.0001625,-0.024
26,,,-0.0001624,2600.0,,,-0.0001624,-0.024
27,,,-0.0001623,2600.0,,,-0.0001623,-0.016
28,,,-0.0001622,2600.0,,,-0.0001622,-0.016
29,,,-0.0001621,2400.0,,,-0.0001621,-0.024
30,,,-0.000162,2600.0,,,-0.000162,-0.016
31,,,-0.0001619,2600.0,,,-0.0001619,-0.024
32,,,-0.0001618,2600.0,,,-0.0001618,-0.016
33,,,-0.0001617,2400.0,,,-0.0001617,-0.024
34,,,-0.0001616,2400.0,,,-0.0001616,-0.016
35,,,-0.0001615,2200.0,,,-0.0001615,-0.016
36,,,-0.0001614,2600.0,,,-0.0001614,-0.024
37,,,-0.0001613,2400.0,,,-0.0001613,-0.016
38,,,-0.0001612,2200.0,,,-0.0001612,-0.016
39,,,-0.0001611,2200.0,,,-0.0001611,-0.016
40,,,-0.000161,2400.0,,,-0.000161,-0.016
41,,,-0.0001609,2400.0,,,-0.0001609,-0.016
42,,,-0.0001608,2200.0,,,-0.0001608,-0.016
43,,,-0.0001607,2200.0,,,-0.0001607,-0.016
44,,,-0.0001606,2200.0,,,-0.0001606,-0.008
45,,,-0.0001605,2400.0,,,-0.0001605,-0.016
46,,,-0.0001604,2200.0,,,-0.0001604,-0.008
47,,,-0.0001603,2200.0,,,-0.0001603,-0.016
48,,,-0.0001602,2200.0,,,-0.0001602,-0.016
49,,,-0.0001601,2200.0,,,-0.0001601,-0.016
50,,,-0.00015999999999999999,2200.0,,,-0.00015999999999999999,-0.016
51,,,-0.0001599,2200.0,,,-0.0001599,-0.008
52,,,-0.0001598,2200.0,,,-0.0001598,-0.016
53,,,-0.0001597,2200.0,,,-0.0001597,-0.008
54,,,-0.0001596,2400.0,,,-0.0001596,-0.008
55,,,-0.0001595,2200.0,,,-0.0001595,-0.008
56,,,-0.0001594,2200.0,,,-0.0001594,-0.008
57,,,-0.0001593,2200.0,,,-0.0001593,0.0
58,,,-0.0001592,2000.0,,,-0.0001592,0.0
59,,,-0.0001591,2000.0,,,-0.0001591,-0.016
60,,,-0.000159,2400.0,,,-0.000159,-0.008
61,,,-0.00015889999999999999,2400.0,,,-0.00015889999999999999,-0.008
62,,,-0.0001588,1800.0,,,-0.0001588,-0.008
63,,,-0.0001587,1800.0,,,-0.0001587,0.0
64,,,-0.0001586,2000.0,,,-0.0001586,-0.008
65,,,-0.0001585,2000.0,,,-0.0001585,-0.008
66,,,-0.0001584,2200.0,,,-0.0001584,-0.008
67,,,-0.0001583,2000.0,,,-0.0001583,-0.008
68,,,-0.0001582,2200.0,,,-0.0001582,0.0
69,,,-0.0001581,2200.0,,,-0.0001581,-0.008
70,,,-0.000158,2000.0,,,-0.000158,0.0
71,,,-0.0001579,2200.0,,,-0.0001579,0.0
72,,,-0.0001578,2000.0,,,-0.0001578,-0.008
73,,,-0.0001577,2200.0,,,-0.0001577,-0.008
74,,,-0.0001576,2400.0,,,-0.0001576,0.0
75,,,-0.0001575,2200.0,,,-0.0001575,0.0
76,,,-0.0001574,2000.0,,,-0.0001574,0.0
77,,,-0.0001573,2000.0,,,-0.0001573,-0.008
78,,,-0.0001572,2000.0,,,-0.0001572,-0.008
79,,,-0.0001571,2000.0,,,-0.0001571,0.0
80,,,-0.000157,1800.0,,,-0.000157,0.008
81,,,-0.0001569,2200.0,,,-0.0001569,-0.008
82,,,-0.0001568,1800.0,,,-0.0001568,0.0
83,,,-0.0001567,2000.0,,,-0.0001567,0.0
84,,,-0.0001566,2000.0,,,-0.0001566,0.008
85,,,-0.0001565,2200.0,,,-0.0001565,0.0
86,,,-0.0001564,2000.0,,,-0.0001564,-0.008
87,,,-0.0001563,2200.0,,,-0.0001563,0.008
88,,,-0.0001562,2200.0,,,-0.0001562,0.0
89,,,-0.0001561,2000.0,,,-0.0001561,0.0
90,,,-0.000156,2200.0,,,-0.000156,0.008
91,,,-0.0001559,2200.0,,,-0.0001559,0.008
92,,,-0.0001558,2000.0,,,-0.0001558,0.0
93,,,-0.0001557,2000.0,,,-0.0001557,0.008
94,,,-0.0001556,2000.0,,,-0.0001556,0.008
95,,,-0.0001555,2200.0,,,-0.0001555,0.008
96,,,-0.0001554,1800.0,,,-0.0001554,0.008
97,,,-0.0001553,2000.0,,,-0.0001553,0.0
98,,,-0.0001552,2200.0,,,-0.0001552,0.008
99,,,-0.0001551,2000.0,,,-0.0001551,0.008
100,,,-0.000155,2000.0,,,-0.000155,0.008
101,,,-0.0001549,2200.0,,,-0.0001549,0.008
102,,,-0.0001548,2000.0,,,-0.0001548,-0.008
103,,,-0.0001547,1800.0,,,-0.0001547,0.008
104,,,-0.0001546,2000.0,,,-0.0001546,0.008
105,,,-0.0001545,2200.0,,,-0.0001545,0.008
106,,,-0.0001544,2000.0,,,-0.0001544,0.008
107,,,-0.0001543,2000.0,,,-0.0001543,0.0
108,,,-0.0001542,2200.0,,,-0.0001542,0.016
109,,,-0.0001541,2000.0,,,-0.0001541,0.016
110,,,-0.000154,2000.0,,,-0.000154,0.016
111,,,-0.0001539,2000.0,,,-0.0001539,0.008
112,,,-0.0001538,2000.0,,,-0.0001538,0.008
113,,,-0.0001537,1800.0,,,-0.0001537,0.0
114,,,-0.0001536,2000.0,,,-0.0001536,0.008
115,,,-0.0001535,2200.0,,,-0.0001535,0.008
116,,,-0.0001534,2200.0,,,-0.0001534,0.008
117,,,-0.00015329999999999999,2200.0,,,-0.00015329999999999999,0.008
118,,,-0.0001532,2200.0,,,-0.0001532,0.008
119,,,-0.0001531,2000.0,,,-0.0001531,0.008
120,,,-0.000153,2200.0,,,-0.000153,0.016
121,,,-0.0001529,2200.0,,,-0.0001529,0.008
122,,,-0.0001528,2000.0,,,-0.0001528,0.008
123,,,-0.0001527,2200.0,,,-0.0001527,0.016
124,,,-0.0001526,2000.0,,,-0.0001526,0.016
125,,,-0.0001525,2200.0,,,-0.0001525,0.024
126,,,-0.0001524,2200.0,,,-0.0001524,0.016
127,,,-0.0001523,2200.0,,,-0.0001523,0.024
128,,,-0.0001522,2000.0,,,-0.0001522,0.024
129,,,-0.0001521,2400.0,,,-0.0001521,0.016
130,,,-0.000152,2200.0,,,-0.000152,0.024
131,,,-0.0001519,2400.0,,,-0.0001519,0.016
132,,,-0.0001518,2200.0,,,-0.0001518,0.016
133,,,-0.0001517,2000.0,,,-0.0001517,0.016
134,,,-0.0001516,2200.0,,,-0.0001516,0.016
135,,,-0.0001515,2200.0,,,-0.0001515,0.024
136,,,-0.0001514,2200.0,,,-0.0001514,0.016
137,,,-0.0001513,2000.0,,,-0.0001513,0.024
138,,,-0.0001512,2200.0,,,-0.0001512,0.024
139,,,-0.0001511,2400.0,,,-0.0001511,0.016
140,,,-0.000151,2200.0,,,-0.000151,0.016
141,,,-0.0001509,2200.0,,,-0.0001509,0.024
142,,,-0.0001508,2400.0,,,-0.0001508,0.016
143,,,-0.0001507,2200.0,,,-0.0001507,0.024
144,,,-0.0001506,2200.0,,,-0.0001506,0.032
145,,,-0.0001505,2000.0,,,-0.0001505,0.016
146,,,-0.0001504,2200.0,,,-0.0001504,0.024
147,,,-0.0001503,2200.0,,,-0.0001503,0.032
148,,,-0.0001502,2200.0,,,-0.0001502,0.032
149,,,-0.0001501,2200.0,,,-0.0001501,0.024
150,,,-0.00015000000000000001,2400.0,,,-0.00015000000000000001,0.024
151,,,-0.0001499,2600.0,,,-0.0001499,0.032
152,,,-0.0001498,2200.0,,,-0.0001498,0.024
153,,,-0.0001497,2400.0,,,-0.0001497,0.032
154,,,-0.0001496,2400.0,,,-0.0001496,0.024
155,,,-0.0001495,2400.0,,,-0.0001495,0.024
156,,,-0.0001494,2400.0,,,-0.0001494,0.032
157,,,-0.0001493,2400.0,,,-0.0001493,0.024
158,,,-0.0001492,2200.0,,,-0.0001492,0.024
159,,,-0.0001491,2600.0,,,-0.0001491,0.032
160,,,-0.000149,2600.0,,,-0.000149,0.032
161,,,-0.0001489,2000.0,,,-0.0001489,0.032
162,,,-0.00014879999999999998,2200.0,,,-0.00014879999999999998,0.024
163,,,-0.0001487,2600.0,,,-0.0001487,0.032
164,,,-0.0001486,2600.0,,,-0.0001486,0.032
165,,,-0.0001485,2200.0,,,-0.0001485,0.024
166,,,-0.0001484,2600.0,,,-0.0001484,0.032
167,,,-0.0001483,2600.0,,,-0.0001483,0.024
168,,,-0.0001482,2600.0,,,-0.0001482,0.04
169,,,-0.0001481,2400.0,,,-0.0001481,0.032
170,,,-0.000148,2600.0,,,-0.000148,0.032
171,,,-0.0001479,2600.0,,,-0.0001479,0.032
172,,,-0.00014780000000000001,2600.0,,,-0.00014780000000000001,0.032
173,,,-0.0001477,2800.0,,,-0.0001477,0.032
174,,,-0.0001476,2800.0,,,-0.0001476,0.024
175,,,-0.0001475,2600.0,,,-0.0001475,0.032
176,,,-0.0001474,2600.0,,,-0.0001474,0.04
177,,,-0.0001473,2400.0,,,-0.0001473,0.032
178,,,-0.0001472,2600.0,,,-0.0001472,0.04
179,,,-0.0001471,2800.0,,,-0.0001471,0.04
180,,,-0.000147,2800.0,,,-0.000147,0.032
181,,,-0.0001469,2600.0,,,-0.0001469,0.032
182,,,-0.0001468,2800.0,,,-0.0001468,0.04
183,,,-0.0001467,2600.0,,,-0.0001467,0.048
184,,,-0.00014659999999999999,2600.0,,,-0.00014659999999999999,0.04
185,,,-0.0001465,2600.0,,,-0.0001465,0.032
186,,,-0.0001464,2800.0,,,-0.0001464,0.04
187,,,-0.0001463,3000.0,,,-0.0001463,0.04
188,,,-0.0001462,3000.0,,,-0.0001462,0.032
189,,,-0.0001461,2800.0,,,-0.0001461,0.032
190,,,-0.000146,3000.0,,,-0.000146,0.04
191,,,-0.0001459,3200.0,,,-0.0001459,0.032
192,,,-0.0001458,3000.0,,,-0.0001458,0.04
193,,,-0.0001457,2600.0,,,-0.0001457,0.048
194,,,-0.0001456,3000.0,,,-0.0001456,0.04
195,,,-0.0001455,3000.0,,,-0.0001455,0.04
196,,,-0.0001454,2800.0,,,-0.0001454,0.04
197,,,-0.0001453,3000.0,,,-0.0001453,0.04
198,,,-0.0001452,3000.0,,,-0.0001452,0.04
199,,,-0.0001451,3000.0,,,-0.0001451,0.04
200,,,-0.000145,3000.0,,,-0.000145,0.04
201,,,-0.0001449,2800.0,,,-0.0001449,0.04
202,,,-0.0001448,3000.0,,,-0.0001448,0.04
203,,,-0.0001447,3200.0,,,-0.0001447,0.04
204,,,-0.0001446,3200.0,,,-0.0001446,0.048
205,,,-0.0001445,3200.0,,,-0.0001445,0.032
206,,,-0.00014439999999999999,3200.0,,,-0.00014439999999999999,0.04
207,,,-0.0001443,3200.0,,,-0.0001443,0.04
208,,,-0.0001442,3200.0,,,-0.0001442,0.048
