,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH3,Valores CH3,Tiempo CH3,Voltaje CH3
0,CH activo,1,-0.000165,2200.0,CH activo,3,-0.000165,-0.042
1,Int. Temporal,1e-07,-0.0001649,2200.0,Int. Temporal,1e-07,-0.0001649,-0.042
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;NOISEREJ;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;8.2E3
",-0.0001648,2200.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;NOISEREJ;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;8.2E3
",-0.0001648,-0.042
3,Unidades verticales,"""V""",-0.0001647,2200.0,Unidades verticales,"""V""",-0.0001647,-0.04
4,Volts x div,5.0E3,-0.0001646,2200.0,Volts x div,5.0E-2,-0.0001646,-0.04
5,Offset vertical (en unidades digitales),120.0,-0.0001645,2200.0,Offset vertical (en unidades digitales),84.0,-0.0001645,-0.04
6,Unidades horizontales,"""s""
",-0.0001644,2200.0,Unidades horizontales,"""s""
",-0.0001644,-0.038
7,Escala horizontal,1e-07,-0.0001643,2000.0,Escala horizontal,1e-07,-0.0001643,-0.04
8,Cero vertical (en unidades verticales),0.0,-0.0001642,2200.0,Cero vertical (en unidades verticales),0.0,-0.0001642,-0.038
9,Factor de Atenuacion,1.0E3,-0.0001641,2000.0,Factor de Atenuacion,1.0E0,-0.0001641,-0.038
10,Fecha,04-05-2023 14:27:31,-0.000164,2000.0,Fecha,04-05-2023 14:27:37,-0.000164,-0.038
11,,,-0.0001639,2000.0,,,-0.0001639,-0.038
12,,,-0.0001638,2000.0,,,-0.0001638,-0.036000000000000004
13,,,-0.0001637,2000.0,,,-0.0001637,-0.036000000000000004
14,,,-0.0001636,2000.0,,,-0.0001636,-0.036000000000000004
15,,,-0.0001635,2000.0,,,-0.0001635,-0.036000000000000004
16,,,-0.0001634,2000.0,,,-0.0001634,-0.036000000000000004
17,,,-0.0001633,1800.0,,,-0.0001633,-0.036000000000000004
18,,,-0.0001632,1800.0,,,-0.0001632,-0.034
19,,,-0.0001631,1800.0,,,-0.0001631,-0.034
20,,,-0.000163,1800.0,,,-0.000163,-0.034
21,,,-0.0001629,1800.0,,,-0.0001629,-0.034
22,,,-0.0001628,1800.0,,,-0.0001628,-0.032
23,,,-0.0001627,1800.0,,,-0.0001627,-0.032
24,,,-0.0001626,1800.0,,,-0.0001626,-0.032
25,,,-0.0001625,1800.0,,,-0.0001625,-0.032
26,,,-0.0001624,1800.0,,,-0.0001624,-0.032
27,,,-0.0001623,1800.0,,,-0.0001623,-0.032
28,,,-0.0001622,1800.0,,,-0.0001622,-0.03
29,,,-0.0001621,1600.0,,,-0.0001621,-0.03
30,,,-0.000162,1600.0,,,-0.000162,-0.03
31,,,-0.0001619,1600.0,,,-0.0001619,-0.03
32,,,-0.0001618,1600.0,,,-0.0001618,-0.028
33,,,-0.0001617,1600.0,,,-0.0001617,-0.028
34,,,-0.0001616,1600.0,,,-0.0001616,-0.026000000000000002
35,,,-0.0001615,1600.0,,,-0.0001615,-0.028
36,,,-0.0001614,1600.0,,,-0.0001614,-0.026000000000000002
37,,,-0.0001613,1600.0,,,-0.0001613,-0.024
38,,,-0.0001612,1600.0,,,-0.0001612,-0.026000000000000002
39,,,-0.0001611,1600.0,,,-0.0001611,-0.028
40,,,-0.000161,1600.0,,,-0.000161,-0.026000000000000002
41,,,-0.0001609,1600.0,,,-0.0001609,-0.026000000000000002
42,,,-0.0001608,1600.0,,,-0.0001608,-0.024
43,,,-0.0001607,1600.0,,,-0.0001607,-0.024
44,,,-0.0001606,1400.0,,,-0.0001606,-0.024
45,,,-0.0001605,1600.0,,,-0.0001605,-0.022
46,,,-0.0001604,1400.0,,,-0.0001604,-0.024
47,,,-0.0001603,1400.0,,,-0.0001603,-0.022
48,,,-0.0001602,1400.0,,,-0.0001602,-0.022
49,,,-0.0001601,1400.0,,,-0.0001601,-0.022
50,,,-0.00015999999999999999,1400.0,,,-0.00015999999999999999,-0.022
51,,,-0.0001599,1400.0,,,-0.0001599,-0.022
52,,,-0.0001598,1400.0,,,-0.0001598,-0.02
53,,,-0.0001597,1400.0,,,-0.0001597,-0.02
54,,,-0.0001596,1400.0,,,-0.0001596,-0.02
55,,,-0.0001595,1400.0,,,-0.0001595,-0.02
56,,,-0.0001594,1400.0,,,-0.0001594,-0.018000000000000002
57,,,-0.0001593,1400.0,,,-0.0001593,-0.02
58,,,-0.0001592,1400.0,,,-0.0001592,-0.018000000000000002
59,,,-0.0001591,1400.0,,,-0.0001591,-0.018000000000000002
60,,,-0.000159,1400.0,,,-0.000159,-0.018000000000000002
61,,,-0.00015889999999999999,1400.0,,,-0.00015889999999999999,-0.016
62,,,-0.0001588,1400.0,,,-0.0001588,-0.016
63,,,-0.0001587,1400.0,,,-0.0001587,-0.016
64,,,-0.0001586,1400.0,,,-0.0001586,-0.016
65,,,-0.0001585,1400.0,,,-0.0001585,-0.016
66,,,-0.0001584,1400.0,,,-0.0001584,-0.014
