,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH3,Valores CH3,Tiempo CH3,Voltaje CH3
0,CH activo,1,-0.000143,2800.0,CH activo,3,-0.000143,0.026000000000000002
1,Int. Temporal,1e-07,-0.0001429,2800.0,Int. Temporal,1e-07,-0.0001429,0.026000000000000002
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;7.0E3
",-0.0001428,2800.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;7.0E3
",-0.0001428,0.028
3,Unidades verticales,"""V""",-0.0001427,2800.0,Unidades verticales,"""V""",-0.0001427,0.028
4,Volts x div,5.0E3,-0.0001426,2800.0,Volts x div,5.0E-2,-0.0001426,0.028
5,Offset vertical (en unidades digitales),118.0,-0.0001425,2800.0,Offset vertical (en unidades digitales),103.0,-0.0001425,0.028
6,Unidades horizontales,"""s""
",-0.00014240000000000002,2800.0,Unidades horizontales,"""s""
",-0.00014240000000000002,0.028
7,Escala horizontal,1e-07,-0.00014230000000000002,2800.0,Escala horizontal,1e-07,-0.00014230000000000002,0.03
8,Cero vertical (en unidades verticales),0.0,-0.00014220000000000001,2800.0,Cero vertical (en unidades verticales),0.0,-0.00014220000000000001,0.03
9,Factor de Atenuacion,1.0E3,-0.0001421,2800.0,Factor de Atenuacion,1.0E0,-0.0001421,0.03
10,Fecha,11-05-2023 11:30:38,-0.000142,2800.0,Fecha,11-05-2023 11:30:43,-0.000142,0.03
11,,,-0.0001419,3000.0,,,-0.0001419,0.03
12,,,-0.0001418,3000.0,,,-0.0001418,0.032
13,,,-0.0001417,3000.0,,,-0.0001417,0.032
14,,,-0.0001416,3000.0,,,-0.0001416,0.032
15,,,-0.0001415,3000.0,,,-0.0001415,0.032
16,,,-0.0001414,3000.0,,,-0.0001414,0.032
17,,,-0.00014130000000000002,3000.0,,,-0.00014130000000000002,0.034
18,,,-0.00014120000000000002,3000.0,,,-0.00014120000000000002,0.034
19,,,-0.00014110000000000001,3000.0,,,-0.00014110000000000001,0.034
20,,,-0.000141,3000.0,,,-0.000141,0.034
21,,,-0.0001409,3000.0,,,-0.0001409,0.034
22,,,-0.0001408,3000.0,,,-0.0001408,0.034
23,,,-0.0001407,3000.0,,,-0.0001407,0.036000000000000004
24,,,-0.0001406,3200.0,,,-0.0001406,0.036000000000000004
25,,,-0.0001405,3200.0,,,-0.0001405,0.036000000000000004
26,,,-0.0001404,3200.0,,,-0.0001404,0.036000000000000004
27,,,-0.0001403,3200.0,,,-0.0001403,0.036000000000000004
28,,,-0.00014020000000000002,3200.0,,,-0.00014020000000000002,0.038
