,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH2,Valores CH2,Tiempo CH2,Voltaje CH2
0,CH activo,1,-0.000145,3600.0,CH activo,2,-0.000145,-0.08
1,Int. Temporal,1e-07,-0.0001449,3600.0,Int. Temporal,1e-07,-0.0001449,-0.08
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;8.4E3
",-0.0001448,3400.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;8.4E3
",-0.0001448,-0.08
3,Unidades verticales,"""V""",-0.0001447,3600.0,Unidades verticales,"""V""",-0.0001447,-0.08
4,Volts x div,5.0E3,-0.0001446,4000.0,Volts x div,5.0E-1,-0.0001446,-0.08
5,Offset vertical (en unidades digitales),128.0,-0.0001445,3600.0,Offset vertical (en unidades digitales),128.0,-0.0001445,-0.1
6,Unidades horizontales,"""s""
",-0.0001444,3800.0,Unidades horizontales,"""s""
",-0.0001444,-0.1
7,Escala horizontal,1e-07,-0.0001443,3600.0,Escala horizontal,1e-07,-0.0001443,-0.08
8,Cero vertical (en unidades verticales),0.0,-0.0001442,3600.0,Cero vertical (en unidades verticales),0.0,-0.0001442,-0.06
9,Factor de Atenuacion,1.0E3,-0.0001441,3600.0,Factor de Atenuacion,1.0E1,-0.0001441,-0.1
10,Fecha,13-04-2023 14:54:45,-0.000144,3800.0,Fecha,13-04-2023 14:54:50,-0.000144,-0.06
11,0,0,-0.0001439,3600.0,0,0,-0.0001439,-0.08
12,0,0,-0.0001438,3800.0,0,0,-0.0001438,-0.1
13,0,0,-0.0001437,4000.0,0,0,-0.0001437,-0.08
14,0,0,-0.0001436,4000.0,0,0,-0.0001436,-0.08
15,0,0,-0.0001435,4000.0,0,0,-0.0001435,-0.08
16,0,0,-0.0001434,4000.0,0,0,-0.0001434,-0.08
17,0,0,-0.00014330000000000001,3800.0,0,0,-0.00014330000000000001,-0.08
18,0,0,-0.0001432,3800.0,0,0,-0.0001432,-0.08
19,0,0,-0.0001431,3800.0,0,0,-0.0001431,-0.08
20,0,0,-0.000143,3800.0,0,0,-0.000143,-0.06
21,0,0,-0.0001429,4000.0,0,0,-0.0001429,-0.08
22,0,0,-0.0001428,4000.0,0,0,-0.0001428,-0.08
23,0,0,-0.0001427,4000.0,0,0,-0.0001427,-0.06
24,0,0,-0.0001426,4200.0,0,0,-0.0001426,-0.08
25,0,0,-0.0001425,4200.0,0,0,-0.0001425,-0.06
26,0,0,-0.0001424,4000.0,0,0,-0.0001424,-0.06
27,0,0,-0.0001423,4000.0,0,0,-0.0001423,-0.06
28,0,0,-0.00014220000000000001,4000.0,0,0,-0.00014220000000000001,-0.08
29,0,0,-0.0001421,4000.0,0,0,-0.0001421,-0.06
30,0,0,-0.000142,4000.0,0,0,-0.000142,-0.08
31,0,0,-0.0001419,4000.0,0,0,-0.0001419,-0.08
32,0,0,-0.0001418,4200.0,0,0,-0.0001418,-0.06
33,0,0,-0.0001417,4400.0,0,0,-0.0001417,-0.06
