,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH3,Valores CH3,Tiempo CH3,Voltaje CH3
0,CH activo,1,-0.0001154,7600.0,CH activo,3,-0.0001154,0.08
1,Int. Temporal,1e-07,-0.0001153,7600.0,Int. Temporal,1e-07,-0.0001153,0.08
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;3.0E3
",-0.0001152,7600.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;3.0E3
",-0.0001152,0.08
3,Unidades verticales,"""V""",-0.0001151,7800.0,Unidades verticales,"""V""",-0.0001151,0.08
4,Volts x div,5.0E3,-0.000115,7800.0,Volts x div,1.0E-1,-0.000115,0.08
5,Offset vertical (en unidades digitales),107.0,-0.0001149,7800.0,Offset vertical (en unidades digitales),53.0,-0.0001149,0.08
6,Unidades horizontales,"""s""
",-0.0001148,7800.0,Unidades horizontales,"""s""
",-0.0001148,0.08
7,Escala horizontal,1e-07,-0.0001147,8000.0,Escala horizontal,1e-07,-0.0001147,0.08
8,Cero vertical (en unidades verticales),0.0,-0.0001146,8000.0,Cero vertical (en unidades verticales),0.0,-0.0001146,0.08
9,Factor de Atenuacion,1.0E3,-0.0001145,8000.0,Factor de Atenuacion,1.0E0,-0.0001145,0.08
10,Fecha,20-04-2023 15:54:05,-0.0001144,8000.0,Fecha,20-04-2023 15:54:11,-0.0001144,0.08
11,,,-0.0001143,8000.0,,,-0.0001143,0.08
12,,,-0.0001142,8200.0,,,-0.0001142,0.08
13,,,-0.0001141,8200.0,,,-0.0001141,0.08
14,,,-0.000114,8200.0,,,-0.000114,0.08
15,,,-0.0001139,8200.0,,,-0.0001139,0.08
16,,,-0.0001138,8200.0,,,-0.0001138,0.08
17,,,-0.0001137,8400.0,,,-0.0001137,0.08
18,,,-0.0001136,8400.0,,,-0.0001136,0.08
19,,,-0.0001135,8400.0,,,-0.0001135,0.08
20,,,-0.0001134,8400.0,,,-0.0001134,0.08
21,,,-0.0001133,8600.0,,,-0.0001133,0.08
22,,,-0.0001132,8600.0,,,-0.0001132,0.08
23,,,-0.0001131,8600.0,,,-0.0001131,0.08
24,,,-0.000113,8600.0,,,-0.000113,0.08
25,,,-0.0001129,8600.0,,,-0.0001129,0.08
26,,,-0.0001128,8800.0,,,-0.0001128,0.08
27,,,-0.0001127,8800.0,,,-0.0001127,0.08
28,,,-0.0001126,8800.0,,,-0.0001126,0.08
29,,,-0.0001125,8800.0,,,-0.0001125,0.08
30,,,-0.0001124,9000.0,,,-0.0001124,0.08
31,,,-0.0001123,9000.0,,,-0.0001123,0.08
32,,,-0.0001122,9000.0,,,-0.0001122,0.08
33,,,-0.0001121,9000.0,,,-0.0001121,0.08
34,,,-0.000112,9200.0,,,-0.000112,0.08
35,,,-0.0001119,9200.0,,,-0.0001119,0.08
36,,,-0.0001118,9200.0,,,-0.0001118,0.08
37,,,-0.0001117,9200.0,,,-0.0001117,0.08
38,,,-0.0001116,9400.0,,,-0.0001116,0.08
39,,,-0.0001115,9400.0,,,-0.0001115,0.08
40,,,-0.0001114,9400.0,,,-0.0001114,0.08
41,,,-0.0001113,9400.0,,,-0.0001113,0.08
42,,,-0.0001112,9400.0,,,-0.0001112,0.08
43,,,-0.0001111,9400.0,,,-0.0001111,0.08
44,,,-0.000111,9600.0,,,-0.000111,0.08
45,,,-0.0001109,9600.0,,,-0.0001109,0.08
46,,,-0.0001108,9600.0,,,-0.0001108,0.08
47,,,-0.0001107,9800.0,,,-0.0001107,0.08
48,,,-0.0001106,9800.0,,,-0.0001106,0.08
49,,,-0.0001105,9800.0,,,-0.0001105,0.08
50,,,-0.0001104,9800.0,,,-0.0001104,0.08
51,,,-0.0001103,9800.0,,,-0.0001103,0.08
52,,,-0.0001102,10000.0,,,-0.0001102,0.08
53,,,-0.00011009999999999999,10000.0,,,-0.00011009999999999999,0.08
