,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH3,Valores CH3,Tiempo CH3,Voltaje CH3
0,CH activo,1,-2.9e-05,1800.0,CH activo,3,-2.9e-05,-0.04
1,Int. Temporal,1e-07,-2.89e-05,1800.0,Int. Temporal,1e-07,-2.89e-05,-0.032
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.4E3
",-2.88e-05,1800.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.4E3
",-2.88e-05,-0.024
3,Unidades verticales,"""V""",-2.87e-05,1600.0,Unidades verticales,"""V""",-2.87e-05,-0.032
4,Volts x div,5.0E3,-2.86e-05,1800.0,Volts x div,2.0E-1,-2.86e-05,-0.032
5,Offset vertical (en unidades digitales),107.0,-2.85e-05,1800.0,Offset vertical (en unidades digitales),55.0,-2.85e-05,-0.016
6,Unidades horizontales,"""s""
",-2.84e-05,1600.0,Unidades horizontales,"""s""
",-2.84e-05,-0.032
7,Escala horizontal,1e-07,-2.83e-05,1600.0,Escala horizontal,1e-07,-2.83e-05,-0.032
8,Cero vertical (en unidades verticales),0.0,-2.82e-05,1800.0,Cero vertical (en unidades verticales),0.0,-2.82e-05,-0.032
9,Factor de Atenuacion,1.0E3,-2.81e-05,1800.0,Factor de Atenuacion,1.0E0,-2.81e-05,-0.024
10,Fecha,25-04-2023 15:55:26,-2.8e-05,1800.0,Fecha,25-04-2023 15:55:32,-2.8e-05,-0.032
11,,,-2.79e-05,1800.0,,,-2.79e-05,-0.024
12,,,-2.78e-05,1600.0,,,-2.78e-05,-0.024
13,,,-2.77e-05,1800.0,,,-2.77e-05,-0.024
14,,,-2.76e-05,1600.0,,,-2.76e-05,-0.024
15,,,-2.75e-05,1600.0,,,-2.75e-05,-0.032
16,,,-2.7400000000000002e-05,1600.0,,,-2.7400000000000002e-05,-0.024
17,,,-2.73e-05,1800.0,,,-2.73e-05,-0.016
18,,,-2.72e-05,1800.0,,,-2.72e-05,-0.024
19,,,-2.71e-05,1800.0,,,-2.71e-05,-0.016
20,,,-2.7e-05,1600.0,,,-2.7e-05,-0.016
21,,,-2.69e-05,1600.0,,,-2.69e-05,-0.016
22,,,-2.68e-05,1600.0,,,-2.68e-05,-0.024
23,,,-2.67e-05,1800.0,,,-2.67e-05,-0.024
24,,,-2.66e-05,1600.0,,,-2.66e-05,-0.024
25,,,-2.65e-05,1600.0,,,-2.65e-05,-0.024
