,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH3,Valores CH3,Tiempo CH3,Voltaje CH3
0,CH activo,1,-0.000146,2400.0,CH activo,3,-0.000146,0.032
1,Int. Temporal,1e-07,-0.0001459,2400.0,Int. Temporal,1e-07,-0.0001459,0.032
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;8.2E3
",-0.0001458,2400.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;8.2E3
",-0.0001458,0.032
3,Unidades verticales,"""V""",-0.0001457,2400.0,Unidades verticales,"""V""",-0.0001457,0.036000000000000004
4,Volts x div,5.0E3,-0.0001456,2600.0,Volts x div,1.0E-1,-0.0001456,0.036000000000000004
5,Offset vertical (en unidades digitales),81.0,-0.00014549999999999999,2600.0,Offset vertical (en unidades digitales),72.0,-0.00014549999999999999,0.036000000000000004
6,Unidades horizontales,"""s""
",-0.0001454,2600.0,Unidades horizontales,"""s""
",-0.0001454,0.036000000000000004
7,Escala horizontal,1e-07,-0.0001453,2600.0,Escala horizontal,1e-07,-0.0001453,0.036000000000000004
8,Cero vertical (en unidades verticales),0.0,-0.0001452,2600.0,Cero vertical (en unidades verticales),0.0,-0.0001452,0.036000000000000004
9,Factor de Atenuacion,1.0E3,-0.0001451,2600.0,Factor de Atenuacion,1.0E0,-0.0001451,0.036000000000000004
10,Fecha,06-06-2023 14:26:58,-0.000145,2600.0,Fecha,06-06-2023 14:27:04,-0.000145,0.04
11,,,-0.0001449,2600.0,,,-0.0001449,0.04
12,,,-0.0001448,2600.0,,,-0.0001448,0.04
13,,,-0.0001447,2600.0,,,-0.0001447,0.04
14,,,-0.0001446,2600.0,,,-0.0001446,0.04
15,,,-0.0001445,2800.0,,,-0.0001445,0.04
16,,,-0.00014439999999999999,2800.0,,,-0.00014439999999999999,0.04
17,,,-0.0001443,2800.0,,,-0.0001443,0.044
18,,,-0.0001442,2800.0,,,-0.0001442,0.044
19,,,-0.0001441,2800.0,,,-0.0001441,0.044
20,,,-0.000144,2800.0,,,-0.000144,0.044
21,,,-0.0001439,2800.0,,,-0.0001439,0.044
22,,,-0.0001438,2800.0,,,-0.0001438,0.044
23,,,-0.0001437,2800.0,,,-0.0001437,0.044
24,,,-0.0001436,2800.0,,,-0.0001436,0.044
25,,,-0.0001435,2800.0,,,-0.0001435,0.048
26,,,-0.0001434,3000.0,,,-0.0001434,0.048
27,,,-0.0001433,3000.0,,,-0.0001433,0.048
28,,,-0.0001432,3000.0,,,-0.0001432,0.048
29,,,-0.0001431,3000.0,,,-0.0001431,0.048
30,,,-0.000143,3000.0,,,-0.000143,0.048
31,,,-0.0001429,3000.0,,,-0.0001429,0.048
32,,,-0.0001428,3000.0,,,-0.0001428,0.052000000000000005
33,,,-0.0001427,3000.0,,,-0.0001427,0.052000000000000005
34,,,-0.0001426,3000.0,,,-0.0001426,0.052000000000000005
35,,,-0.0001425,3000.0,,,-0.0001425,0.052000000000000005
36,,,-0.0001424,3200.0,,,-0.0001424,0.052000000000000005
37,,,-0.0001423,3200.0,,,-0.0001423,0.052000000000000005
38,,,-0.0001422,3200.0,,,-0.0001422,0.052000000000000005
39,,,-0.00014209999999999998,3200.0,,,-0.00014209999999999998,0.056
40,,,-0.000142,3200.0,,,-0.000142,0.056
41,,,-0.0001419,3200.0,,,-0.0001419,0.056
42,,,-0.0001418,3200.0,,,-0.0001418,0.056
43,,,-0.0001417,3200.0,,,-0.0001417,0.056
44,,,-0.0001416,3400.0,,,-0.0001416,0.056
45,,,-0.0001415,3400.0,,,-0.0001415,0.056
46,,,-0.0001414,3400.0,,,-0.0001414,0.056
47,,,-0.0001413,3400.0,,,-0.0001413,0.06
48,,,-0.0001412,3400.0,,,-0.0001412,0.06
49,,,-0.0001411,3400.0,,,-0.0001411,0.06
50,,,-0.000141,3400.0,,,-0.000141,0.06
51,,,-0.0001409,3400.0,,,-0.0001409,0.06
52,,,-0.0001408,3400.0,,,-0.0001408,0.06
53,,,-0.0001407,3600.0,,,-0.0001407,0.06
54,,,-0.0001406,3600.0,,,-0.0001406,0.06
