,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH3,Valores CH3,Tiempo CH3,Voltaje CH3
0,CH activo,1,-0.000163,4800.0,CH activo,3,-0.000163,-0.044
1,Int. Temporal,1e-07,-0.0001629,5000.0,Int. Temporal,1e-07,-0.0001629,-0.044
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.4E3
",-0.0001628,4800.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;6.4E3
",-0.0001628,-0.044
3,Unidades verticales,"""V""",-0.0001627,4800.0,Unidades verticales,"""V""",-0.0001627,-0.044
4,Volts x div,5.0E3,-0.0001626,4800.0,Volts x div,1.0E-1,-0.0001626,-0.044
5,Offset vertical (en unidades digitales),118.0,-0.0001625,4800.0,Offset vertical (en unidades digitales),91.0,-0.0001625,-0.044
6,Unidades horizontales,"""s""
",-0.00016240000000000002,4800.0,Unidades horizontales,"""s""
",-0.00016240000000000002,-0.044
7,Escala horizontal,1e-07,-0.00016230000000000001,4800.0,Escala horizontal,1e-07,-0.00016230000000000001,-0.044
8,Cero vertical (en unidades verticales),0.0,-0.0001622,4800.0,Cero vertical (en unidades verticales),0.0,-0.0001622,-0.044
9,Factor de Atenuacion,1.0E3,-0.0001621,4600.0,Factor de Atenuacion,1.0E0,-0.0001621,-0.044
10,Fecha,12-05-2023 12:25:10,-0.000162,4600.0,Fecha,12-05-2023 12:25:15,-0.000162,-0.044
11,,,-0.0001619,4600.0,,,-0.0001619,-0.044
12,,,-0.0001618,4600.0,,,-0.0001618,-0.044
13,,,-0.0001617,4600.0,,,-0.0001617,-0.044
14,,,-0.0001616,4600.0,,,-0.0001616,-0.044
15,,,-0.0001615,4600.0,,,-0.0001615,-0.04
16,,,-0.0001614,4600.0,,,-0.0001614,-0.04
17,,,-0.00016130000000000002,4600.0,,,-0.00016130000000000002,-0.04
18,,,-0.00016120000000000002,4400.0,,,-0.00016120000000000002,-0.04
19,,,-0.0001611,4400.0,,,-0.0001611,-0.04
20,,,-0.000161,4400.0,,,-0.000161,-0.04
21,,,-0.0001609,4400.0,,,-0.0001609,-0.04
22,,,-0.0001608,4400.0,,,-0.0001608,-0.04
23,,,-0.0001607,4400.0,,,-0.0001607,-0.04
24,,,-0.0001606,4400.0,,,-0.0001606,-0.04
25,,,-0.0001605,4400.0,,,-0.0001605,-0.04
26,,,-0.0001604,4200.0,,,-0.0001604,-0.04
27,,,-0.0001603,4200.0,,,-0.0001603,-0.04
28,,,-0.00016020000000000002,4200.0,,,-0.00016020000000000002,-0.04
29,,,-0.00016010000000000002,4200.0,,,-0.00016010000000000002,-0.04
30,,,-0.00016,4200.0,,,-0.00016,-0.036000000000000004
31,,,-0.0001599,4200.0,,,-0.0001599,-0.036000000000000004
32,,,-0.0001598,4200.0,,,-0.0001598,-0.036000000000000004
33,,,-0.0001597,4200.0,,,-0.0001597,-0.036000000000000004
34,,,-0.0001596,4200.0,,,-0.0001596,-0.036000000000000004
35,,,-0.0001595,4200.0,,,-0.0001595,-0.036000000000000004
36,,,-0.0001594,4200.0,,,-0.0001594,-0.036000000000000004
37,,,-0.0001593,4000.0,,,-0.0001593,-0.036000000000000004
38,,,-0.0001592,4000.0,,,-0.0001592,-0.036000000000000004
39,,,-0.00015910000000000002,4000.0,,,-0.00015910000000000002,-0.036000000000000004
