,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH3,Valores CH3,Tiempo CH3,Voltaje CH3
0,CH activo,1,-0.000125,6400.0,CH activo,3,-0.000125,0.112
1,Int. Temporal,1e-07,-0.0001249,6600.0,Int. Temporal,1e-07,-0.0001249,0.112
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.6E3
",-0.0001248,6600.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;5.6E3
",-0.0001248,0.112
3,Unidades verticales,"""V""",-0.0001247,6600.0,Unidades verticales,"""V""",-0.0001247,0.112
4,Volts x div,5.0E3,-0.0001246,6600.0,Volts x div,1.0E-1,-0.0001246,0.112
5,Offset vertical (en unidades digitales),81.0,-0.0001245,6600.0,Offset vertical (en unidades digitales),86.0,-0.0001245,0.112
6,Unidades horizontales,"""s""
",-0.00012440000000000002,6600.0,Unidades horizontales,"""s""
",-0.00012440000000000002,0.112
7,Escala horizontal,1e-07,-0.0001243,6800.0,Escala horizontal,1e-07,-0.0001243,0.112
8,Cero vertical (en unidades verticales),0.0,-0.0001242,6800.0,Cero vertical (en unidades verticales),0.0,-0.0001242,0.112
9,Factor de Atenuacion,1.0E3,-0.0001241,6800.0,Factor de Atenuacion,1.0E0,-0.0001241,0.112
10,Fecha,01-06-2023 15:07:48,-0.000124,6800.0,Fecha,01-06-2023 15:07:53,-0.000124,0.116
11,,,-0.0001239,6800.0,,,-0.0001239,0.116
12,,,-0.0001238,6800.0,,,-0.0001238,0.116
13,,,-0.0001237,7000.0,,,-0.0001237,0.116
14,,,-0.0001236,7000.0,,,-0.0001236,0.116
15,,,-0.0001235,7000.0,,,-0.0001235,0.116
16,,,-0.0001234,7000.0,,,-0.0001234,0.116
17,,,-0.00012330000000000002,7000.0,,,-0.00012330000000000002,0.116
18,,,-0.0001232,7200.0,,,-0.0001232,0.116
19,,,-0.0001231,7200.0,,,-0.0001231,0.116
20,,,-0.000123,7200.0,,,-0.000123,0.116
21,,,-0.0001229,7200.0,,,-0.0001229,0.116
22,,,-0.0001228,7200.0,,,-0.0001228,0.12
23,,,-0.0001227,7400.0,,,-0.0001227,0.12
24,,,-0.0001226,7400.0,,,-0.0001226,0.12
25,,,-0.0001225,7400.0,,,-0.0001225,0.12
26,,,-0.0001224,7400.0,,,-0.0001224,0.12
27,,,-0.0001223,7400.0,,,-0.0001223,0.12
