,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH3,Valores CH3,Tiempo CH3,Voltaje CH3
0,CH activo,1,-0.000145,1800.0,CH activo,3,-0.000145,0.052000000000000005
1,Int. Temporal,1e-07,-0.0001449,1800.0,Int. Temporal,1e-07,-0.0001449,0.052000000000000005
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;8.2E3
",-0.0001448,2000.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;8.2E3
",-0.0001448,0.056
3,Unidades verticales,"""V""",-0.0001447,2000.0,Unidades verticales,"""V""",-0.0001447,0.056
4,Volts x div,5.0E3,-0.0001446,2000.0,Volts x div,1.0E-1,-0.0001446,0.056
5,Offset vertical (en unidades digitales),81.0,-0.0001445,2000.0,Offset vertical (en unidades digitales),72.0,-0.0001445,0.056
6,Unidades horizontales,"""s""
",-0.0001444,2000.0,Unidades horizontales,"""s""
",-0.0001444,0.06
7,Escala horizontal,1e-07,-0.0001443,2000.0,Escala horizontal,1e-07,-0.0001443,0.06
8,Cero vertical (en unidades verticales),0.0,-0.0001442,2000.0,Cero vertical (en unidades verticales),0.0,-0.0001442,0.06
9,Factor de Atenuacion,1.0E3,-0.0001441,2000.0,Factor de Atenuacion,1.0E0,-0.0001441,0.06
10,Fecha,08-06-2023 13:06:42,-0.000144,2200.0,Fecha,08-06-2023 13:06:48,-0.000144,0.06
11,,,-0.0001439,2000.0,,,-0.0001439,0.064
12,,,-0.0001438,2200.0,,,-0.0001438,0.064
13,,,-0.0001437,2200.0,,,-0.0001437,0.064
14,,,-0.0001436,2200.0,,,-0.0001436,0.064
15,,,-0.0001435,2200.0,,,-0.0001435,0.064
16,,,-0.0001434,2200.0,,,-0.0001434,0.068
17,,,-0.00014330000000000001,2200.0,,,-0.00014330000000000001,0.068
18,,,-0.0001432,2200.0,,,-0.0001432,0.068
19,,,-0.0001431,2400.0,,,-0.0001431,0.068
20,,,-0.000143,2400.0,,,-0.000143,0.068
21,,,-0.0001429,2400.0,,,-0.0001429,0.068
22,,,-0.0001428,2400.0,,,-0.0001428,0.07200000000000001
23,,,-0.0001427,2400.0,,,-0.0001427,0.07200000000000001
24,,,-0.0001426,2400.0,,,-0.0001426,0.07200000000000001
25,,,-0.0001425,2400.0,,,-0.0001425,0.07200000000000001
26,,,-0.0001424,2400.0,,,-0.0001424,0.076
27,,,-0.0001423,2400.0,,,-0.0001423,0.076
28,,,-0.00014220000000000001,2600.0,,,-0.00014220000000000001,0.076
29,,,-0.0001421,2600.0,,,-0.0001421,0.076
30,,,-0.000142,2600.0,,,-0.000142,0.076
31,,,-0.0001419,2600.0,,,-0.0001419,0.08
32,,,-0.0001418,2600.0,,,-0.0001418,0.08
33,,,-0.0001417,2600.0,,,-0.0001417,0.08
34,,,-0.0001416,2600.0,,,-0.0001416,0.08
35,,,-0.0001415,2600.0,,,-0.0001415,0.08
36,,,-0.0001414,2800.0,,,-0.0001414,0.084
37,,,-0.0001413,2800.0,,,-0.0001413,0.084
38,,,-0.0001412,2800.0,,,-0.0001412,0.084
39,,,-0.00014110000000000001,2800.0,,,-0.00014110000000000001,0.084
40,,,-0.000141,2800.0,,,-0.000141,0.084
41,,,-0.0001409,2800.0,,,-0.0001409,0.084
42,,,-0.0001408,2800.0,,,-0.0001408,0.088
43,,,-0.0001407,3000.0,,,-0.0001407,0.088
44,,,-0.0001406,3000.0,,,-0.0001406,0.088
45,,,-0.0001405,3000.0,,,-0.0001405,0.088
46,,,-0.0001404,3000.0,,,-0.0001404,0.088
47,,,-0.0001403,3000.0,,,-0.0001403,0.092
48,,,-0.0001402,3000.0,,,-0.0001402,0.092
49,,,-0.0001401,3000.0,,,-0.0001401,0.092
50,,,-0.00014,3000.0,,,-0.00014,0.092
51,,,-0.0001399,3200.0,,,-0.0001399,0.092
52,,,-0.0001398,3200.0,,,-0.0001398,0.096
53,,,-0.0001397,3200.0,,,-0.0001397,0.096
54,,,-0.0001396,3200.0,,,-0.0001396,0.096
55,,,-0.0001395,3200.0,,,-0.0001395,0.096
56,,,-0.0001394,3200.0,,,-0.0001394,0.096
57,,,-0.0001393,3400.0,,,-0.0001393,0.096
