,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH3,Valores CH3,Tiempo CH3,Voltaje CH3
0,CH activo,1,-0.000144,3200.0,CH activo,3,-0.000144,0.04
1,Int. Temporal,1e-07,-0.0001439,3200.0,Int. Temporal,1e-07,-0.0001439,0.04
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;8.2E3
",-0.0001438,3200.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;8.2E3
",-0.0001438,0.04
3,Unidades verticales,"""V""",-0.0001437,3200.0,Unidades verticales,"""V""",-0.0001437,0.044
4,Volts x div,5.0E3,-0.0001436,3400.0,Volts x div,1.0E-1,-0.0001436,0.044
5,Offset vertical (en unidades digitales),81.0,-0.0001435,3200.0,Offset vertical (en unidades digitales),79.0,-0.0001435,0.044
6,Unidades horizontales,"""s""
",-0.00014340000000000002,3400.0,Unidades horizontales,"""s""
",-0.00014340000000000002,0.044
7,Escala horizontal,1e-07,-0.00014330000000000001,3400.0,Escala horizontal,1e-07,-0.00014330000000000001,0.044
8,Cero vertical (en unidades verticales),0.0,-0.0001432,3400.0,Cero vertical (en unidades verticales),0.0,-0.0001432,0.048
9,Factor de Atenuacion,1.0E3,-0.0001431,3400.0,Factor de Atenuacion,1.0E0,-0.0001431,0.048
10,Fecha,08-06-2023 15:58:52,-0.000143,3400.0,Fecha,08-06-2023 15:58:57,-0.000143,0.048
11,,,-0.0001429,3400.0,,,-0.0001429,0.048
12,,,-0.0001428,3400.0,,,-0.0001428,0.048
13,,,-0.0001427,3400.0,,,-0.0001427,0.048
14,,,-0.0001426,3400.0,,,-0.0001426,0.052000000000000005
15,,,-0.0001425,3400.0,,,-0.0001425,0.052000000000000005
16,,,-0.0001424,3400.0,,,-0.0001424,0.052000000000000005
17,,,-0.00014230000000000002,3600.0,,,-0.00014230000000000002,0.052000000000000005
18,,,-0.00014220000000000001,3600.0,,,-0.00014220000000000001,0.052000000000000005
19,,,-0.0001421,3600.0,,,-0.0001421,0.056
20,,,-0.000142,3600.0,,,-0.000142,0.056
21,,,-0.0001419,3600.0,,,-0.0001419,0.056
22,,,-0.0001418,3600.0,,,-0.0001418,0.056
23,,,-0.0001417,3600.0,,,-0.0001417,0.056
24,,,-0.0001416,3600.0,,,-0.0001416,0.056
25,,,-0.0001415,3800.0,,,-0.0001415,0.06
26,,,-0.0001414,3800.0,,,-0.0001414,0.06
27,,,-0.0001413,3800.0,,,-0.0001413,0.06
28,,,-0.00014120000000000002,3800.0,,,-0.00014120000000000002,0.06
29,,,-0.00014110000000000001,3800.0,,,-0.00014110000000000001,0.06
30,,,-0.000141,3800.0,,,-0.000141,0.064
31,,,-0.0001409,3800.0,,,-0.0001409,0.064
32,,,-0.0001408,3800.0,,,-0.0001408,0.064
33,,,-0.0001407,3800.0,,,-0.0001407,0.064
34,,,-0.0001406,3800.0,,,-0.0001406,0.064
35,,,-0.0001405,3800.0,,,-0.0001405,0.064
36,,,-0.0001404,4000.0,,,-0.0001404,0.068
37,,,-0.0001403,4000.0,,,-0.0001403,0.068
38,,,-0.0001402,4000.0,,,-0.0001402,0.068
39,,,-0.0001401,4000.0,,,-0.0001401,0.068
40,,,-0.00014000000000000001,4000.0,,,-0.00014000000000000001,0.068
41,,,-0.0001399,4000.0,,,-0.0001399,0.07200000000000001
42,,,-0.0001398,4000.0,,,-0.0001398,0.07200000000000001
43,,,-0.0001397,4000.0,,,-0.0001397,0.07200000000000001
44,,,-0.0001396,4200.0,,,-0.0001396,0.07200000000000001
45,,,-0.0001395,4200.0,,,-0.0001395,0.07200000000000001
46,,,-0.0001394,4200.0,,,-0.0001394,0.07200000000000001
47,,,-0.0001393,4200.0,,,-0.0001393,0.076
48,,,-0.0001392,4200.0,,,-0.0001392,0.076
49,,,-0.0001391,4200.0,,,-0.0001391,0.076
50,,,-0.00013900000000000002,4200.0,,,-0.00013900000000000002,0.076
51,,,-0.00013890000000000002,4400.0,,,-0.00013890000000000002,0.076
52,,,-0.0001388,4400.0,,,-0.0001388,0.076
53,,,-0.0001387,4400.0,,,-0.0001387,0.076
54,,,-0.0001386,4400.0,,,-0.0001386,0.08
55,,,-0.0001385,4400.0,,,-0.0001385,0.08
56,,,-0.0001384,4400.0,,,-0.0001384,0.08
57,,,-0.0001383,4400.0,,,-0.0001383,0.08
58,,,-0.0001382,4400.0,,,-0.0001382,0.08
59,,,-0.0001381,4600.0,,,-0.0001381,0.08
60,,,-0.000138,4600.0,,,-0.000138,0.084
61,,,-0.0001379,4600.0,,,-0.0001379,0.084
62,,,-0.00013780000000000002,4600.0,,,-0.00013780000000000002,0.084
63,,,-0.0001377,4600.0,,,-0.0001377,0.084
64,,,-0.0001376,4600.0,,,-0.0001376,0.084
65,,,-0.0001375,4600.0,,,-0.0001375,0.088
66,,,-0.0001374,4600.0,,,-0.0001374,0.088
67,,,-0.0001373,4800.0,,,-0.0001373,0.088
68,,,-0.0001372,4800.0,,,-0.0001372,0.088
69,,,-0.0001371,4800.0,,,-0.0001371,0.088
70,,,-0.000137,4800.0,,,-0.000137,0.088
71,,,-0.0001369,4800.0,,,-0.0001369,0.088
72,,,-0.0001368,4800.0,,,-0.0001368,0.092
73,,,-0.00013670000000000002,4800.0,,,-0.00013670000000000002,0.092
74,,,-0.0001366,5000.0,,,-0.0001366,0.092
75,,,-0.0001365,5000.0,,,-0.0001365,0.092
76,,,-0.0001364,5000.0,,,-0.0001364,0.092
77,,,-0.0001363,5000.0,,,-0.0001363,0.092
78,,,-0.0001362,5000.0,,,-0.0001362,0.092
79,,,-0.0001361,5000.0,,,-0.0001361,0.096
80,,,-0.000136,5000.0,,,-0.000136,0.096
81,,,-0.0001359,5200.0,,,-0.0001359,0.096
82,,,-0.0001358,5200.0,,,-0.0001358,0.096
83,,,-0.0001357,5200.0,,,-0.0001357,0.096
84,,,-0.00013560000000000002,5200.0,,,-0.00013560000000000002,0.096
85,,,-0.00013550000000000001,5200.0,,,-0.00013550000000000001,0.1
86,,,-0.0001354,5200.0,,,-0.0001354,0.1
87,,,-0.0001353,5400.0,,,-0.0001353,0.1
88,,,-0.0001352,5200.0,,,-0.0001352,0.1
89,,,-0.0001351,5400.0,,,-0.0001351,0.1
90,,,-0.000135,5400.0,,,-0.000135,0.1
91,,,-0.0001349,5400.0,,,-0.0001349,0.1
92,,,-0.0001348,5400.0,,,-0.0001348,0.1
93,,,-0.0001347,5400.0,,,-0.0001347,0.10400000000000001
94,,,-0.0001346,5600.0,,,-0.0001346,0.10400000000000001
95,,,-0.00013450000000000002,5600.0,,,-0.00013450000000000002,0.10400000000000001
96,,,-0.00013440000000000001,5600.0,,,-0.00013440000000000001,0.10400000000000001
97,,,-0.0001343,5600.0,,,-0.0001343,0.10400000000000001
98,,,-0.0001342,5600.0,,,-0.0001342,0.10400000000000001
99,,,-0.0001341,5600.0,,,-0.0001341,0.108
100,,,-0.000134,5600.0,,,-0.000134,0.108
101,,,-0.0001339,5800.0,,,-0.0001339,0.108
102,,,-0.0001338,5800.0,,,-0.0001338,0.108
103,,,-0.0001337,5800.0,,,-0.0001337,0.108
104,,,-0.0001336,5800.0,,,-0.0001336,0.108
105,,,-0.0001335,5800.0,,,-0.0001335,0.108
106,,,-0.0001334,6000.0,,,-0.0001334,0.108
107,,,-0.00013330000000000001,6000.0,,,-0.00013330000000000001,0.112
108,,,-0.0001332,6000.0,,,-0.0001332,0.112
109,,,-0.0001331,6000.0,,,-0.0001331,0.112
110,,,-0.000133,6000.0,,,-0.000133,0.112
111,,,-0.0001329,6000.0,,,-0.0001329,0.112
112,,,-0.0001328,6000.0,,,-0.0001328,0.112
113,,,-0.0001327,6200.0,,,-0.0001327,0.112
114,,,-0.0001326,6200.0,,,-0.0001326,0.116
115,,,-0.0001325,6200.0,,,-0.0001325,0.116
116,,,-0.0001324,6200.0,,,-0.0001324,0.116
117,,,-0.00013230000000000002,6200.0,,,-0.00013230000000000002,0.116
118,,,-0.00013220000000000001,6200.0,,,-0.00013220000000000001,0.116
119,,,-0.0001321,6400.0,,,-0.0001321,0.116
120,,,-0.000132,6400.0,,,-0.000132,0.116
121,,,-0.0001319,6400.0,,,-0.0001319,0.116
122,,,-0.0001318,6400.0,,,-0.0001318,0.12
123,,,-0.0001317,6400.0,,,-0.0001317,0.12
124,,,-0.0001316,6400.0,,,-0.0001316,0.12
125,,,-0.0001315,6600.0,,,-0.0001315,0.12
126,,,-0.0001314,6600.0,,,-0.0001314,0.12
127,,,-0.0001313,6600.0,,,-0.0001313,0.12
128,,,-0.0001312,6600.0,,,-0.0001312,0.12
129,,,-0.00013110000000000002,6600.0,,,-0.00013110000000000002,0.12
130,,,-0.000131,6600.0,,,-0.000131,0.124
131,,,-0.0001309,6800.0,,,-0.0001309,0.124
132,,,-0.0001308,6800.0,,,-0.0001308,0.124
133,,,-0.0001307,6800.0,,,-0.0001307,0.124
134,,,-0.0001306,6800.0,,,-0.0001306,0.124
135,,,-0.0001305,6800.0,,,-0.0001305,0.124
136,,,-0.0001304,6800.0,,,-0.0001304,0.124
137,,,-0.0001303,7000.0,,,-0.0001303,0.124
138,,,-0.0001302,7000.0,,,-0.0001302,0.124
139,,,-0.00013010000000000002,7000.0,,,-0.00013010000000000002,0.128
140,,,-0.00013000000000000002,7000.0,,,-0.00013000000000000002,0.128
141,,,-0.0001299,7000.0,,,-0.0001299,0.128
142,,,-0.0001298,7200.0,,,-0.0001298,0.128
143,,,-0.0001297,7200.0,,,-0.0001297,0.128
144,,,-0.0001296,7200.0,,,-0.0001296,0.128
145,,,-0.0001295,7200.0,,,-0.0001295,0.128
146,,,-0.0001294,7200.0,,,-0.0001294,0.128
147,,,-0.0001293,7200.0,,,-0.0001293,0.128
148,,,-0.0001292,7400.0,,,-0.0001292,0.132
149,,,-0.0001291,7400.0,,,-0.0001291,0.132
150,,,-0.000129,7400.0,,,-0.000129,0.132
151,,,-0.00012890000000000002,7400.0,,,-0.00012890000000000002,0.132
152,,,-0.00012880000000000001,7400.0,,,-0.00012880000000000001,0.132
153,,,-0.0001287,7600.0,,,-0.0001287,0.132
154,,,-0.0001286,7600.0,,,-0.0001286,0.132
155,,,-0.0001285,7600.0,,,-0.0001285,0.132
156,,,-0.0001284,7600.0,,,-0.0001284,0.132
157,,,-0.0001283,7600.0,,,-0.0001283,0.132
158,,,-0.0001282,7600.0,,,-0.0001282,0.132
159,,,-0.0001281,7800.0,,,-0.0001281,0.136
160,,,-0.000128,7800.0,,,-0.000128,0.136
161,,,-0.00012790000000000002,7800.0,,,-0.00012790000000000002,0.136
162,,,-0.00012780000000000002,7800.0,,,-0.00012780000000000002,0.136
163,,,-0.00012770000000000001,7800.0,,,-0.00012770000000000001,0.136
164,,,-0.0001276,8000.0,,,-0.0001276,0.136
165,,,-0.0001275,8000.0,,,-0.0001275,0.136
166,,,-0.0001274,8000.0,,,-0.0001274,0.136
167,,,-0.0001273,8000.0,,,-0.0001273,0.136
168,,,-0.0001272,8000.0,,,-0.0001272,0.136
169,,,-0.0001271,8000.0,,,-0.0001271,0.14
170,,,-0.000127,8200.0,,,-0.000127,0.14
171,,,-0.0001269,8200.0,,,-0.0001269,0.14
172,,,-0.0001268,8200.0,,,-0.0001268,0.14
173,,,-0.0001267,8200.0,,,-0.0001267,0.14
174,,,-0.00012660000000000001,8400.0,,,-0.00012660000000000001,0.14
175,,,-0.0001265,8400.0,,,-0.0001265,0.14
176,,,-0.0001264,8400.0,,,-0.0001264,0.14
177,,,-0.0001263,8400.0,,,-0.0001263,0.14
178,,,-0.0001262,8400.0,,,-0.0001262,0.14
179,,,-0.0001261,8400.0,,,-0.0001261,0.14
180,,,-0.000126,8600.0,,,-0.000126,0.14
181,,,-0.0001259,8600.0,,,-0.0001259,0.14400000000000002
182,,,-0.0001258,8600.0,,,-0.0001258,0.14
183,,,-0.00012570000000000002,8600.0,,,-0.00012570000000000002,0.14400000000000002
184,,,-0.00012560000000000002,8600.0,,,-0.00012560000000000002,0.14400000000000002
185,,,-0.00012550000000000001,8800.0,,,-0.00012550000000000001,0.14400000000000002
186,,,-0.0001254,8800.0,,,-0.0001254,0.14400000000000002
187,,,-0.0001253,8800.0,,,-0.0001253,0.14400000000000002
188,,,-0.0001252,8800.0,,,-0.0001252,0.14400000000000002
189,,,-0.0001251,8800.0,,,-0.0001251,0.14400000000000002
190,,,-0.000125,8800.0,,,-0.000125,0.14400000000000002
191,,,-0.0001249,9000.0,,,-0.0001249,0.14400000000000002
192,,,-0.0001248,9000.0,,,-0.0001248,0.14400000000000002
193,,,-0.0001247,9000.0,,,-0.0001247,0.14400000000000002
194,,,-0.0001246,9000.0,,,-0.0001246,0.14400000000000002
195,,,-0.0001245,9000.0,,,-0.0001245,0.14400000000000002
196,,,-0.00012440000000000002,9200.0,,,-0.00012440000000000002,0.14400000000000002
197,,,-0.0001243,9200.0,,,-0.0001243,0.148
198,,,-0.0001242,9200.0,,,-0.0001242,0.148
199,,,-0.0001241,9200.0,,,-0.0001241,0.148
200,,,-0.000124,9200.0,,,-0.000124,0.148
201,,,-0.0001239,9400.0,,,-0.0001239,0.148
202,,,-0.0001238,9400.0,,,-0.0001238,0.148
203,,,-0.0001237,9400.0,,,-0.0001237,0.148
204,,,-0.0001236,9400.0,,,-0.0001236,0.148
205,,,-0.0001235,9400.0,,,-0.0001235,0.148
206,,,-0.00012340000000000002,9400.0,,,-0.00012340000000000002,0.148
207,,,-0.00012330000000000002,9600.0,,,-0.00012330000000000002,0.148
208,,,-0.0001232,9600.0,,,-0.0001232,0.148
209,,,-0.0001231,9600.0,,,-0.0001231,0.148
210,,,-0.000123,9600.0,,,-0.000123,0.148
211,,,-0.0001229,9600.0,,,-0.0001229,0.148
212,,,-0.0001228,9600.0,,,-0.0001228,0.148
213,,,-0.0001227,9800.0,,,-0.0001227,0.152
214,,,-0.0001226,9800.0,,,-0.0001226,0.152
215,,,-0.0001225,9800.0,,,-0.0001225,0.152
216,,,-0.0001224,9800.0,,,-0.0001224,0.152
217,,,-0.0001223,10000.0,,,-0.0001223,0.152
218,,,-0.00012220000000000002,10000.0,,,-0.00012220000000000002,0.152
219,,,-0.0001221,10000.0,,,-0.0001221,0.152
220,,,-0.00012200000000000001,10000.0,,,-0.00012200000000000001,0.152
221,,,-0.00012190000000000001,10000.0,,,-0.00012190000000000001,0.152
222,,,-0.0001218,10000.0,,,-0.0001218,0.152
223,,,-0.0001217,10200.0,,,-0.0001217,0.152
224,,,-0.0001216,10200.0,,,-0.0001216,0.152
225,,,-0.0001215,10200.0,,,-0.0001215,0.152
226,,,-0.0001214,10200.0,,,-0.0001214,0.152
227,,,-0.00012130000000000001,10200.0,,,-0.00012130000000000001,0.152
228,,,-0.0001212,10400.0,,,-0.0001212,0.152
229,,,-0.0001211,10400.0,,,-0.0001211,0.152
230,,,-0.000121,10400.0,,,-0.000121,0.152
231,,,-0.00012090000000000001,10400.0,,,-0.00012090000000000001,0.152
232,,,-0.00012080000000000001,10400.0,,,-0.00012080000000000001,0.152
233,,,-0.0001207,10400.0,,,-0.0001207,0.152
234,,,-0.0001206,10600.0,,,-0.0001206,0.152
235,,,-0.0001205,10600.0,,,-0.0001205,0.152
236,,,-0.0001204,10600.0,,,-0.0001204,0.152
237,,,-0.0001203,10600.0,,,-0.0001203,0.152
238,,,-0.00012020000000000001,10600.0,,,-0.00012020000000000001,0.152
239,,,-0.0001201,10800.0,,,-0.0001201,0.152
240,,,-0.00012,10800.0,,,-0.00012,0.152
241,,,-0.0001199,10800.0,,,-0.0001199,0.152
242,,,-0.00011980000000000001,10800.0,,,-0.00011980000000000001,0.152
243,,,-0.00011970000000000001,10800.0,,,-0.00011970000000000001,0.152
244,,,-0.00011960000000000001,11000.0,,,-0.00011960000000000001,0.152
245,,,-0.0001195,11000.0,,,-0.0001195,0.152
246,,,-0.0001194,11000.0,,,-0.0001194,0.156
247,,,-0.0001193,11000.0,,,-0.0001193,0.152
248,,,-0.0001192,11000.0,,,-0.0001192,0.156
249,,,-0.00011910000000000001,11200.0,,,-0.00011910000000000001,0.156
250,,,-0.000119,11200.0,,,-0.000119,0.156
251,,,-0.0001189,11200.0,,,-0.0001189,0.156
252,,,-0.0001188,11200.0,,,-0.0001188,0.156
253,,,-0.00011870000000000001,11200.0,,,-0.00011870000000000001,0.156
254,,,-0.00011860000000000001,11200.0,,,-0.00011860000000000001,0.156
255,,,-0.00011850000000000001,11400.0,,,-0.00011850000000000001,0.156
256,,,-0.0001184,11400.0,,,-0.0001184,0.156
257,,,-0.0001183,11400.0,,,-0.0001183,0.152
258,,,-0.0001182,11400.0,,,-0.0001182,0.156
259,,,-0.0001181,11400.0,,,-0.0001181,0.156
260,,,-0.00011800000000000001,11600.0,,,-0.00011800000000000001,0.152
261,,,-0.0001179,11600.0,,,-0.0001179,0.156
262,,,-0.0001178,11600.0,,,-0.0001178,0.152
263,,,-0.0001177,11600.0,,,-0.0001177,0.156
264,,,-0.00011760000000000001,11600.0,,,-0.00011760000000000001,0.156
265,,,-0.00011750000000000001,11600.0,,,-0.00011750000000000001,0.156
266,,,-0.00011740000000000001,11800.0,,,-0.00011740000000000001,0.156
267,,,-0.0001173,11800.0,,,-0.0001173,0.156
268,,,-0.0001172,11800.0,,,-0.0001172,0.156
269,,,-0.0001171,11800.0,,,-0.0001171,0.156
270,,,-0.000117,11800.0,,,-0.000117,0.156
271,,,-0.00011690000000000001,12000.0,,,-0.00011690000000000001,0.156
272,,,-0.0001168,12000.0,,,-0.0001168,0.156
273,,,-0.0001167,12000.0,,,-0.0001167,0.152
274,,,-0.0001166,12000.0,,,-0.0001166,0.152
275,,,-0.00011650000000000001,12000.0,,,-0.00011650000000000001,0.156
276,,,-0.00011640000000000001,12200.0,,,-0.00011640000000000001,0.152
277,,,-0.00011630000000000001,12200.0,,,-0.00011630000000000001,0.156
278,,,-0.0001162,12200.0,,,-0.0001162,0.156
279,,,-0.0001161,12200.0,,,-0.0001161,0.152
280,,,-0.000116,12200.0,,,-0.000116,0.152
281,,,-0.0001159,12400.0,,,-0.0001159,0.152
282,,,-0.00011580000000000001,12400.0,,,-0.00011580000000000001,0.152
283,,,-0.00011570000000000001,12400.0,,,-0.00011570000000000001,0.152
284,,,-0.0001156,12400.0,,,-0.0001156,0.152
285,,,-0.0001155,12400.0,,,-0.0001155,0.152
286,,,-0.00011540000000000001,12400.0,,,-0.00011540000000000001,0.152
287,,,-0.00011530000000000001,12400.0,,,-0.00011530000000000001,0.152
288,,,-0.00011520000000000001,12600.0,,,-0.00011520000000000001,0.152
289,,,-0.0001151,12600.0,,,-0.0001151,0.152
290,,,-0.000115,12600.0,,,-0.000115,0.152
291,,,-0.0001149,12600.0,,,-0.0001149,0.152
292,,,-0.0001148,12600.0,,,-0.0001148,0.152
293,,,-0.00011470000000000001,12800.0,,,-0.00011470000000000001,0.152
294,,,-0.00011460000000000001,12800.0,,,-0.00011460000000000001,0.152
295,,,-0.0001145,12800.0,,,-0.0001145,0.152
296,,,-0.0001144,12800.0,,,-0.0001144,0.152
297,,,-0.0001143,12800.0,,,-0.0001143,0.152
298,,,-0.00011420000000000001,12800.0,,,-0.00011420000000000001,0.152
299,,,-0.00011410000000000001,13000.0,,,-0.00011410000000000001,0.152
300,,,-0.000114,13000.0,,,-0.000114,0.152
301,,,-0.0001139,13000.0,,,-0.0001139,0.152
302,,,-0.0001138,13000.0,,,-0.0001138,0.152
303,,,-0.0001137,13000.0,,,-0.0001137,0.152
304,,,-0.0001136,13000.0,,,-0.0001136,0.152
305,,,-0.00011350000000000001,13200.0,,,-0.00011350000000000001,0.152
306,,,-0.0001134,13200.0,,,-0.0001134,0.152
307,,,-0.0001133,13200.0,,,-0.0001133,0.152
308,,,-0.00011320000000000001,13200.0,,,-0.00011320000000000001,0.152
309,,,-0.00011310000000000001,13200.0,,,-0.00011310000000000001,0.148
310,,,-0.00011300000000000001,13200.0,,,-0.00011300000000000001,0.148
311,,,-0.0001129,13200.0,,,-0.0001129,0.148
312,,,-0.0001128,13400.0,,,-0.0001128,0.148
313,,,-0.0001127,13400.0,,,-0.0001127,0.148
314,,,-0.0001126,13400.0,,,-0.0001126,0.148
315,,,-0.0001125,13400.0,,,-0.0001125,0.148
316,,,-0.00011240000000000001,13600.0,,,-0.00011240000000000001,0.148
317,,,-0.0001123,13600.0,,,-0.0001123,0.148
318,,,-0.0001122,13600.0,,,-0.0001122,0.148
319,,,-0.00011210000000000001,13600.0,,,-0.00011210000000000001,0.148
320,,,-0.00011200000000000001,13600.0,,,-0.00011200000000000001,0.148
321,,,-0.00011190000000000001,13600.0,,,-0.00011190000000000001,0.148
322,,,-0.00011180000000000001,13600.0,,,-0.00011180000000000001,0.148
323,,,-0.0001117,13800.0,,,-0.0001117,0.148
324,,,-0.0001116,13800.0,,,-0.0001116,0.148
325,,,-0.0001115,13800.0,,,-0.0001115,0.148
326,,,-0.0001114,13800.0,,,-0.0001114,0.148
327,,,-0.00011130000000000001,13800.0,,,-0.00011130000000000001,0.148
328,,,-0.0001112,14000.0,,,-0.0001112,0.14400000000000002
329,,,-0.0001111,14000.0,,,-0.0001111,0.148
330,,,-0.00011100000000000001,14000.0,,,-0.00011100000000000001,0.148
331,,,-0.00011090000000000001,14000.0,,,-0.00011090000000000001,0.148
332,,,-0.00011080000000000001,14000.0,,,-0.00011080000000000001,0.148
333,,,-0.00011070000000000001,14000.0,,,-0.00011070000000000001,0.148
334,,,-0.0001106,14000.0,,,-0.0001106,0.148
335,,,-0.0001105,14200.0,,,-0.0001105,0.148
336,,,-0.0001104,14200.0,,,-0.0001104,0.148
337,,,-0.0001103,14200.0,,,-0.0001103,0.148
338,,,-0.0001102,14200.0,,,-0.0001102,0.148
339,,,-0.0001101,14200.0,,,-0.0001101,0.148
340,,,-0.00011,14200.0,,,-0.00011,0.148
341,,,-0.00010990000000000002,14400.0,,,-0.00010990000000000002,0.148
342,,,-0.00010980000000000001,14400.0,,,-0.00010980000000000001,0.156
343,,,-0.00010970000000000001,14400.0,,,-0.00010970000000000001,0.16
344,,,-0.00010960000000000001,14400.0,,,-0.00010960000000000001,0.156
345,,,-0.0001095,14400.0,,,-0.0001095,0.156
346,,,-0.0001094,14400.0,,,-0.0001094,0.152
347,,,-0.0001093,14400.0,,,-0.0001093,0.152
348,,,-0.0001092,14600.0,,,-0.0001092,0.16
349,,,-0.0001091,14600.0,,,-0.0001091,0.156
350,,,-0.000109,14600.0,,,-0.000109,0.152
351,,,-0.0001089,14600.0,,,-0.0001089,0.152
352,,,-0.0001088,14600.0,,,-0.0001088,0.16
353,,,-0.00010870000000000001,14600.0,,,-0.00010870000000000001,0.16
354,,,-0.00010860000000000001,14600.0,,,-0.00010860000000000001,0.156
355,,,-0.00010850000000000001,14600.0,,,-0.00010850000000000001,0.156
356,,,-0.0001084,14800.0,,,-0.0001084,0.152
357,,,-0.0001083,14800.0,,,-0.0001083,0.152
358,,,-0.0001082,14800.0,,,-0.0001082,0.152
359,,,-0.0001081,14800.0,,,-0.0001081,0.152
360,,,-0.000108,14800.0,,,-0.000108,0.164
361,,,-0.00010790000000000001,14800.0,,,-0.00010790000000000001,0.16
362,,,-0.0001078,14800.0,,,-0.0001078,0.164
363,,,-0.0001077,14800.0,,,-0.0001077,0.152
364,,,-0.00010760000000000001,15000.0,,,-0.00010760000000000001,0.148
