,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH3,Valores CH3,Tiempo CH3,Voltaje CH3
0,CH activo,1,-0.000145,3400.0,CH activo,3,-0.000145,0.092
1,Int. Temporal,1e-07,-0.0001449,3400.0,Int. Temporal,1e-07,-0.0001449,0.092
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;1.08E4
",-0.0001448,3400.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;LINE;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;1.08E4
",-0.0001448,0.092
3,Unidades verticales,"""V""",-0.0001447,3400.0,Unidades verticales,"""V""",-0.0001447,0.092
4,Volts x div,5.0E3,-0.0001446,3400.0,Volts x div,1.0E-1,-0.0001446,0.096
5,Offset vertical (en unidades digitales),81.0,-0.0001445,3600.0,Offset vertical (en unidades digitales),72.0,-0.0001445,0.096
6,Unidades horizontales,"""s""
",-0.0001444,3600.0,Unidades horizontales,"""s""
",-0.0001444,0.096
7,Escala horizontal,1e-07,-0.0001443,3600.0,Escala horizontal,1e-07,-0.0001443,0.096
8,Cero vertical (en unidades verticales),0.0,-0.0001442,3600.0,Cero vertical (en unidades verticales),0.0,-0.0001442,0.096
9,Factor de Atenuacion,1.0E3,-0.0001441,3600.0,Factor de Atenuacion,1.0E0,-0.0001441,0.096
10,Fecha,08-06-2023 12:48:11,-0.000144,3600.0,Fecha,08-06-2023 12:48:16,-0.000144,0.096
11,,,-0.0001439,3600.0,,,-0.0001439,0.1
12,,,-0.0001438,3800.0,,,-0.0001438,0.1
13,,,-0.0001437,3800.0,,,-0.0001437,0.1
14,,,-0.0001436,3800.0,,,-0.0001436,0.1
15,,,-0.0001435,3800.0,,,-0.0001435,0.1
16,,,-0.0001434,3800.0,,,-0.0001434,0.10400000000000001
17,,,-0.00014330000000000001,3800.0,,,-0.00014330000000000001,0.10400000000000001
18,,,-0.0001432,4000.0,,,-0.0001432,0.10400000000000001
19,,,-0.0001431,4000.0,,,-0.0001431,0.10400000000000001
20,,,-0.000143,4000.0,,,-0.000143,0.10400000000000001
