Unnamed: 0,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH2,Valores CH2,Tiempo CH2,Voltaje CH2
0,CH activo,1,-0.000145,3600.0,CH activo,2,-0.000145,-0.08
1,Int. Temporal,1e-07,-0.0001449,3400.0,Int. Temporal,1e-07,-0.0001449,-0.08
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;8.4E3
",-0.0001448,3800.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;8.4E3
",-0.0001448,-0.1
3,Unidades verticales,"""V""",-0.0001447,3600.0,Unidades verticales,"""V""",-0.0001447,-0.1
4,Volts x div,5.0E3,-0.0001446,3800.0,Volts x div,5.0E-1,-0.0001446,-0.1
5,Offset vertical (en unidades digitales),128.0,-0.0001445,3800.0,Offset vertical (en unidades digitales),128.0,-0.0001445,-0.1
6,Unidades horizontales,"""s""
",-0.0001444,3600.0,Unidades horizontales,"""s""
",-0.0001444,-0.06
7,Escala horizontal,1e-07,-0.0001443,3800.0,Escala horizontal,1e-07,-0.0001443,-0.1
8,Cero vertical (en unidades verticales),0.0,-0.0001442,3600.0,Cero vertical (en unidades verticales),0.0,-0.0001442,-0.08
9,Factor de Atenuacion,1.0E3,-0.0001441,3600.0,Factor de Atenuacion,1.0E1,-0.0001441,-0.08
10,Fecha,13-04-2023 14:56:02,-0.000144,3800.0,Fecha,13-04-2023 14:56:08,-0.000144,-0.08
11,,,-0.0001439,3800.0,,,-0.0001439,-0.1
12,,,-0.0001438,3800.0,,,-0.0001438,-0.08
13,,,-0.0001437,4000.0,,,-0.0001437,-0.08
14,,,-0.0001436,3800.0,,,-0.0001436,-0.1
15,,,-0.0001435,3800.0,,,-0.0001435,-0.1
16,,,-0.0001434,3800.0,,,-0.0001434,-0.08
17,,,-0.0001433,3800.0,,,-0.0001433,-0.1
18,,,-0.0001432,3600.0,,,-0.0001432,-0.06
19,,,-0.0001431,3800.0,,,-0.0001431,-0.1
20,,,-0.000143,3800.0,,,-0.000143,-0.08
21,,,-0.0001429,4000.0,,,-0.0001429,-0.06
22,,,-0.0001428,4000.0,,,-0.0001428,-0.1
23,,,-0.0001427,3800.0,,,-0.0001427,-0.08
24,,,-0.0001426,4000.0,,,-0.0001426,-0.08
25,,,-0.0001425,4200.0,,,-0.0001425,-0.08
26,,,-0.0001424,4000.0,,,-0.0001424,-0.08
27,,,-0.0001423,4200.0,,,-0.0001423,-0.06
28,,,-0.0001422,4000.0,,,-0.0001422,-0.08
29,,,-0.0001421,4000.0,,,-0.0001421,-0.08
30,,,-0.000142,4000.0,,,-0.000142,-0.08
31,,,-0.0001419,4200.0,,,-0.0001419,-0.1
32,,,-0.0001418,4200.0,,,-0.0001418,-0.08
33,,,-0.0001417,3800.0,,,-0.0001417,-0.06
34,,,-0.0001416,4000.0,,,-0.0001416,-0.06
35,,,-0.0001415,4000.0,,,-0.0001415,-0.06
36,,,-0.0001414,4200.0,,,-0.0001414,-0.06
37,,,-0.0001413,4200.0,,,-0.0001413,-0.04
38,,,-0.0001412,4200.0,,,-0.0001412,-0.06
39,,,-0.0001411,4200.0,,,-0.0001411,-0.04
40,,,-0.000141,4200.0,,,-0.000141,-0.06
41,,,-0.0001409,4000.0,,,-0.0001409,-0.08
42,,,-0.0001408,4000.0,,,-0.0001408,-0.04
43,,,-0.0001407,4200.0,,,-0.0001407,-0.06
44,,,-0.0001406,4400.0,,,-0.0001406,-0.06
45,,,-0.0001405,4200.0,,,-0.0001405,-0.06
46,,,-0.0001404,4600.0,,,-0.0001404,-0.08
47,,,-0.0001403,4400.0,,,-0.0001403,-0.06
48,,,-0.0001402,4600.0,,,-0.0001402,-0.04
49,,,-0.0001401,4400.0,,,-0.0001401,-0.06
50,,,-0.00014,4400.0,,,-0.00014,-0.04
51,,,-0.0001399,4800.0,,,-0.0001399,-0.06
52,,,-0.0001398,4600.0,,,-0.0001398,-0.04
53,,,-0.0001397,4400.0,,,-0.0001397,-0.04
54,,,-0.0001396,4400.0,,,-0.0001396,-0.08
55,,,-0.0001395,4600.0,,,-0.0001395,-0.04
56,,,-0.0001394,4600.0,,,-0.0001394,-0.04
57,,,-0.0001393,4400.0,,,-0.0001393,-0.06
58,,,-0.0001392,4400.0,,,-0.0001392,-0.06
59,,,-0.0001391,4400.0,,,-0.0001391,-0.04
60,,,-0.000139,4600.0,,,-0.000139,-0.04
61,,,-0.0001389,4600.0,,,-0.0001389,-0.06
62,,,-0.0001388,4800.0,,,-0.0001388,-0.08
63,,,-0.0001387,4800.0,,,-0.0001387,-0.04
64,,,-0.0001386,4800.0,,,-0.0001386,-0.06
65,,,-0.0001385,4800.0,,,-0.0001385,-0.04
66,,,-0.0001384,4600.0,,,-0.0001384,-0.04
67,,,-0.0001383,4600.0,,,-0.0001383,-0.04
68,,,-0.0001382,4800.0,,,-0.0001382,-0.08
69,,,-0.0001381,5200.0,,,-0.0001381,-0.04
70,,,-0.000138,5200.0,,,-0.000138,-0.08
71,,,-0.0001379,5000.0,,,-0.0001379,-0.02
72,,,-0.0001378,5000.0,,,-0.0001378,-0.04
73,,,-0.0001377,5000.0,,,-0.0001377,-0.04
74,,,-0.0001376,5000.0,,,-0.0001376,-0.06
75,,,-0.0001375,5000.0,,,-0.0001375,-0.04
76,,,-0.0001374,4800.0,,,-0.0001374,-0.04
77,,,-0.0001373,5000.0,,,-0.0001373,-0.02
78,,,-0.0001372,5000.0,,,-0.0001372,0.0
79,,,-0.0001371,5200.0,,,-0.0001371,-0.02
80,,,-0.000137,5200.0,,,-0.000137,-0.04
81,,,-0.0001369,5200.0,,,-0.0001369,-0.02
82,,,-0.0001368,5400.0,,,-0.0001368,-0.04
83,,,-0.0001367,5200.0,,,-0.0001367,-0.02
84,,,-0.0001366,5400.0,,,-0.0001366,-0.02
85,,,-0.0001365,5400.0,,,-0.0001365,-0.04
86,,,-0.0001364,5400.0,,,-0.0001364,-0.04
87,,,-0.0001363,5400.0,,,-0.0001363,-0.06
88,,,-0.0001362,5600.0,,,-0.0001362,-0.02
89,,,-0.0001361,5400.0,,,-0.0001361,-0.02
90,,,-0.000136,5200.0,,,-0.000136,-0.02
91,,,-0.0001359,5400.0,,,-0.0001359,-0.04
92,,,-0.0001358,5200.0,,,-0.0001358,-0.04
93,,,-0.0001357,5600.0,,,-0.0001357,0.0
94,,,-0.0001356,5400.0,,,-0.0001356,-0.02
95,,,-0.0001355,5600.0,,,-0.0001355,-0.04
96,,,-0.0001354,5600.0,,,-0.0001354,-0.04
97,,,-0.0001353,5600.0,,,-0.0001353,-0.02
98,,,-0.0001352,5600.0,,,-0.0001352,-0.02
99,,,-0.0001351,5600.0,,,-0.0001351,-0.02
100,,,-0.000135,5600.0,,,-0.000135,0.0
101,,,-0.0001349,5600.0,,,-0.0001349,-0.02
102,,,-0.0001348,5800.0,,,-0.0001348,-0.02
103,,,-0.0001347,5600.0,,,-0.0001347,-0.02
104,,,-0.0001346,5800.0,,,-0.0001346,-0.02
105,,,-0.0001345,5800.0,,,-0.0001345,-0.02
106,,,-0.0001344,6000.0,,,-0.0001344,-0.02
107,,,-0.0001343,5800.0,,,-0.0001343,-0.02
108,,,-0.0001342,5800.0,,,-0.0001342,-0.02
109,,,-0.0001341,5800.0,,,-0.0001341,-0.02
110,,,-0.000134,5800.0,,,-0.000134,-0.02
111,,,-0.0001339,6000.0,,,-0.0001339,-0.02
112,,,-0.0001338,6000.0,,,-0.0001338,0.0
113,,,-0.0001337,6200.0,,,-0.0001337,-0.02
114,,,-0.0001336,6000.0,,,-0.0001336,0.0
115,,,-0.0001335,6200.0,,,-0.0001335,0.0
116,,,-0.0001334,6000.0,,,-0.0001334,0.02
117,,,-0.0001333,6000.0,,,-0.0001333,-0.02
118,,,-0.0001332,6000.0,,,-0.0001332,0.0
119,,,-0.0001331,6200.0,,,-0.0001331,0.0
120,,,-0.000133,6000.0,,,-0.000133,0.0
121,,,-0.0001329,6400.0,,,-0.0001329,0.0
122,,,-0.0001328,6400.0,,,-0.0001328,-0.02
123,,,-0.0001327,6200.0,,,-0.0001327,-0.02
124,,,-0.0001326,6400.0,,,-0.0001326,-0.02
